pid,sample_time,ifcb,ml_analyzed,latitude,longitude,depth,cruise,cast,niskin,sample_type,n_images,tag1,comment_summary,trigger_selection,skip
D20210701T001123_IFCB145,2021-07-01 00:11:23+00:00,145,0.5070740741,,,,,,,,14106,dinophysis_bloom_2021,,2,0
D20210701T003502_IFCB145,2021-07-01 00:35:02+00:00,145,0.5101038773000001,,,,,,,,14072,dinophysis_bloom_2021,,2,0
D20210701T005841_IFCB145,2021-07-01 00:58:41+00:00,145,0.4925978009,,,,,,,,14042,dinophysis_bloom_2021,,2,0
D20210701T012220_IFCB145,2021-07-01 01:22:20+00:00,145,0.5025957755,,,,,,,,14064,dinophysis_bloom_2021,,2,0
D20210701T014559_IFCB145,2021-07-01 01:45:59+00:00,145,0.5020584491,,,,,,,,14035,dinophysis_bloom_2021,,2,0
D20210701T020938_IFCB145,2021-07-01 02:09:38+00:00,145,0.49950781250000004,,,,,,,,13918,dinophysis_bloom_2021,,2,0
D20210701T023318_IFCB145,2021-07-01 02:33:18+00:00,145,0.5020141782,,,,,,,,14026,dinophysis_bloom_2021,,2,0
D20210701T025658_IFCB145,2021-07-01 02:56:58+00:00,145,0.4897659144,,,,,,,,14066,dinophysis_bloom_2021,,2,0
D20210701T032038_IFCB145,2021-07-01 03:20:38+00:00,145,0.5023454861000001,,,,,,,,14012,dinophysis_bloom_2021,,2,0
D20210701T034417_IFCB145,2021-07-01 03:44:17+00:00,145,0.49312905090000003,,,,,,,,14000,dinophysis_bloom_2021,,2,0
D20210701T040756_IFCB145,2021-07-01 04:07:56+00:00,145,0.5581006944,,,,,,,,13851,dinophysis_bloom_2021,,2,0
D20210701T043135_IFCB145,2021-07-01 04:31:35+00:00,145,0.5380842014,,,,,,,,13693,dinophysis_bloom_2021,,2,0
D20210701T045515_IFCB145,2021-07-01 04:55:15+00:00,145,0.5347317708,,,,,,,,13768,dinophysis_bloom_2021,,2,0
D20210701T051854_IFCB145,2021-07-01 05:18:54+00:00,145,0.5173269676,,,,,,,,13801,dinophysis_bloom_2021,,2,0
D20210701T054233_IFCB145,2021-07-01 05:42:33+00:00,145,0.535823206,,,,,,,,13795,dinophysis_bloom_2021,,2,0
D20210701T060612_IFCB145,2021-07-01 06:06:12+00:00,145,0.5161744792,,,,,,,,13826,dinophysis_bloom_2021,,2,0
D20210701T062951_IFCB145,2021-07-01 06:29:51+00:00,145,0.512614294,,,,,,,,13856,dinophysis_bloom_2021,,2,0
D20210701T065332_IFCB145,2021-07-01 06:53:32+00:00,145,0.5161258681,,,,,,,,13796,dinophysis_bloom_2021,,2,0
D20210701T071712_IFCB145,2021-07-01 07:17:12+00:00,145,0.5483090278,,,,,,,,13693,dinophysis_bloom_2021,,2,0
D20210701T074051_IFCB145,2021-07-01 07:40:51+00:00,145,0.5429861111000001,,,,,,,,13781,dinophysis_bloom_2021,,2,0
D20210701T080431_IFCB145,2021-07-01 08:04:31+00:00,145,0.5394806134,,,,,,,,14001,dinophysis_bloom_2021,,2,0
D20210701T082811_IFCB145,2021-07-01 08:28:11+00:00,145,0.7102884838,,,,,,,,13282,dinophysis_bloom_2021,,2,0
